,number,model,file,label_pred,label_true,rez_from_model,t1
0,0,Aniemore/wav2vec2-emotion-russian-resd,neutral_fear_27/27_neutral_fear_n_100.wav,anger,neutral,"[{'score': 0.17598015069961548, 'label': 'anger'}, {'score': 0.147435262799263, 'label': 'neutral'}, {'score': 0.1442464143037796, 'label': 'enthusiasm'}, {'score': 0.13582494854927063, 'label': 'sadness'}, {'score': 0.1347377747297287, 'label': 'fear'}]",1.7611932754516602
1,3,Aniemore/wav2vec2-emotion-russian-resd,anger_fear_42/42_anger_fear_a_190.wav,anger,anger,"[{'score': 0.18954557180404663, 'label': 'anger'}, {'score': 0.14582081139087677, 'label': 'enthusiasm'}, {'score': 0.1400650590658188, 'label': 'sadness'}, {'score': 0.13824401795864105, 'label': 'disgust'}, {'score': 0.1371900886297226, 'label': 'neutral'}]",0.3463883399963379
2,6,Aniemore/wav2vec2-emotion-russian-resd,fear_disgust_41/41_fear_disgust_f_050.wav,enthusiasm,fear,"[{'score': 0.1559067964553833, 'label': 'enthusiasm'}, {'score': 0.15222452580928802, 'label': 'neutral'}, {'score': 0.15109924972057343, 'label': 'anger'}, {'score': 0.13953503966331482, 'label': 'fear'}, {'score': 0.13872095942497253, 'label': 'disgust'}]",2.0201406478881836
3,9,Aniemore/wav2vec2-emotion-russian-resd,neutral_fear_27/27_neutral_fear_n_020.wav,neutral,neutral,"[{'score': 0.18447254598140717, 'label': 'neutral'}, {'score': 0.1593128740787506, 'label': 'disgust'}, {'score': 0.13867825269699097, 'label': 'fear'}, {'score': 0.13660919666290283, 'label': 'enthusiasm'}, {'score': 0.13100267946720123, 'label': 'happiness'}]",1.4154291152954102
4,12,Aniemore/wav2vec2-emotion-russian-resd,anger_disgust_19/19_anger_disgust_a_030.wav,anger,anger,"[{'score': 0.18711082637310028, 'label': 'anger'}, {'score': 0.1441970020532608, 'label': 'neutral'}, {'score': 0.13988426327705383, 'label': 'sadness'}, {'score': 0.1398785412311554, 'label': 'enthusiasm'}, {'score': 0.13776452839374542, 'label': 'fear'}]",0.8631536960601807
5,15,Aniemore/wav2vec2-emotion-russian-resd,11_disgust_anger/11_anger_disgust a_040.wav,disgust,anger,"[{'score': 0.16221202909946442, 'label': 'disgust'}, {'score': 0.15767021477222443, 'label': 'enthusiasm'}, {'score': 0.15433725714683533, 'label': 'fear'}, {'score': 0.14654113352298737, 'label': 'neutral'}, {'score': 0.14027640223503113, 'label': 'happiness'}]",0.16606402397155762
6,18,Aniemore/wav2vec2-emotion-russian-resd,happiness_neutral_23/23_happiness_neutral_h_130.wav,anger,happiness,"[{'score': 0.18162457644939423, 'label': 'anger'}, {'score': 0.16836416721343994, 'label': 'happiness'}, {'score': 0.15098212659358978, 'label': 'fear'}, {'score': 0.12898628413677216, 'label': 'disgust'}, {'score': 0.1278483122587204, 'label': 'sadness'}]",0.646522045135498
7,21,Aniemore/wav2vec2-emotion-russian-resd,enthusiasm_sadness_47/47_enthusiasm_sadness_s_010.wav,disgust,sadness,"[{'score': 0.16981808841228485, 'label': 'disgust'}, {'score': 0.1627020686864853, 'label': 'fear'}, {'score': 0.14610913395881653, 'label': 'happiness'}, {'score': 0.1369950771331787, 'label': 'neutral'}, {'score': 0.13683991134166718, 'label': 'sadness'}]",1.1635546684265137
8,24,Aniemore/wav2vec2-emotion-russian-resd,10_happiness_anger/10_happiness_anger a_110.wav,anger,anger,"[{'score': 0.2000785917043686, 'label': 'anger'}, {'score': 0.1374049186706543, 'label': 'fear'}, {'score': 0.13583806157112122, 'label': 'enthusiasm'}, {'score': 0.13537533581256866, 'label': 'neutral'}, {'score': 0.13393719494342804, 'label': 'disgust'}]",0.276700496673584
9,27,Aniemore/wav2vec2-emotion-russian-resd,happiness_neutral_23/23_happiness_neutral_h_180.wav,anger,happiness,"[{'score': 0.180327907204628, 'label': 'anger'}, {'score': 0.16768382489681244, 'label': 'happiness'}, {'score': 0.1390295773744583, 'label': 'fear'}, {'score': 0.13194115459918976, 'label': 'disgust'}, {'score': 0.12824442982673645, 'label': 'sadness'}]",0.9463086128234863
