,model,name,name2,name2,ideal,dn,n,text,em
0,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/sadness_anger_39/39_sadness_anger_s_020.wav,../шумоподавление/DTLN_output/DTLN_39_sadness_anger_s_020.wav,../шумоподавление/Noisereduce_output/Noisereduce_39_sadness_anger_s_020.wav,ну он уже не дышат все что ом не дихать,имому он же не упелетшат ысокачто в нейти ати,дему он уже прешать все ключтон и тиати,Он уже не дышит. Что мне делать?,sadness
1,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/sadness_happiness_49/49_sadness_happiness_h_080.wav,../шумоподавление/DTLN_output/DTLN_49_sadness_happiness_h_080.wav,../шумоподавление/Noisereduce_output/Noisereduce_49_sadness_happiness_h_080.wav,я сейчас помою и отдам тебе если тебе что то не устраивает не моей проблемы,я сейчас помою и отдам тебе если тебе что то не устраивает ни мои проблемы,я сейчас помою и отдамцяесли тебе что то не устраивает и мои проблемы,"Я сейчас помою и отдам тебе, если тебя что-то не устраивает, не мои проблемы.",happiness
2,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/02_anger_sadness/02_anger_sadness a_051.wav,../шумоподавление/DTLN_output/DTLN_02_anger_sadness a_051.wav,../шумоподавление/Noisereduce_output/Noisereduce_02_anger_sadness a_051.wav,не ужили дольшь анна ивановна семьдесят лет она делает быстрея чем ты а ты молодолй специалист конечно,не ужили дольше анна ивановнаявлет всемьдесятвестнозят ег обделает быстроя чем ты атыгилаяз немлудой свиции они стоявлела конечно,не ужил дольшеанна ивановска семьдесят леттаб делат быстроячем ты а ты ит может точь специионистаконечно,"Неужели дольше? Анна Ивановна 70 лет. Она делает быстрее, чем ты. А ты молодой специалист. Конечно.",anger
3,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/sadness_disgust_33/33_sadness_disgust_d_020.wav,../шумоподавление/DTLN_output/DTLN_33_sadness_disgust_d_020.wav,../шумоподавление/Noisereduce_output/Noisereduce_33_sadness_disgust_d_020.wav,манали что то захотил,малады ресчитыт за потел,нада решь ит это потил,Мало ли что ты захотел,disgust
4,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/05_neutral_fear/05_neutral_fear n_020.wav,../шумоподавление/DTLN_output/DTLN_05_neutral_fear n_020.wav,../шумоподавление/Noisereduce_output/Noisereduce_05_neutral_fear n_020.wav,да они всегда вечером плохо ходят,и всегда вечером плохо ходит,да они всегда вечером плохо ходет,"Да, они всегда вечером плохо ходят.",neutral
5,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/happiness_anger_21/21_happiness_anger_a_110.wav,../шумоподавление/DTLN_output/DTLN_21_happiness_anger_a_110.wav,../шумоподавление/Noisereduce_output/Noisereduce_21_happiness_anger_a_110.wav,нетпринимайте заказ и идите готовке я есть хочу,диангент лимберымусикаль принимайте заказ и идите готовтя я есть хочу,дыабеент имбры мусикак принимате саказнии идите катостлению есть хочу,Нет! Принимайте заказ и идите готовьте! Я есть хочу!,anger
6,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/happiness_neutral_18/18_happiness_neutral_h_080.wav,../шумоподавление/DTLN_output/DTLN_18_happiness_neutral_h_080.wav,../шумоподавление/Noisereduce_output/Noisereduce_18_happiness_neutral_h_080.wav,а может быть мы с ней подружимся и будем лучшими друзьями,а может быть мы с ний подружимся и будем лучшими друзьями,а может быть мы с ний подрожемся и будем лучшими друзьями,А может быть мы с ней подружимся и будем лучшими друзьями?,happiness
7,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/anger_fear_42/42_anger_fear_f_030.wav,../шумоподавление/DTLN_output/DTLN_42_anger_fear_f_030.wav,../шумоподавление/Noisereduce_output/Noisereduce_42_anger_fear_f_030.wav,послушайте у васъездите,послушайте его съездите,послушайте его съездите,"Послушайте, у вас есть дети?",fear
8,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/happiness_enthusiasm_32/32_happiness_enthusiasm_h_072.wav,../шумоподавление/DTLN_output/DTLN_32_happiness_enthusiasm_h_072.wav,../шумоподавление/Noisereduce_output/Noisereduce_32_happiness_enthusiasm_h_072.wav,ну вдруг о не дур дур гостоит я ружи тимпетыс,ока не дой долого стоит я рожи тимпетные,токо не боь долго стои я рожи темпет,"Ну, вдруг они дорого стоят, дороже, чем пять тысяч.",happiness
9,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/enthusiasm_sadness_47/47_enthusiasm_sadness_e_070.wav,../шумоподавление/DTLN_output/DTLN_47_enthusiasm_sadness_e_070.wav,../шумоподавление/Noisereduce_output/Noisereduce_47_enthusiasm_sadness_e_070.wav,но она вкредит хотите вкредит,лонок инди протите люди,но она впредит потите вкредит,Нужно в кредит. Хотите в кредит.,enthusiasm
10,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/neutral_fear_27/27_neutral_fear_f_110.wav,../шумоподавление/DTLN_output/DTLN_27_neutral_fear_f_110.wav,../шумоподавление/Noisereduce_output/Noisereduce_27_neutral_fear_f_110.wav,дану я же не смогу жить биз этого,дану яжен смок лжить бисета,дану я же не смог ужить биз это,"Да, но я же не смогу жить без этого.",fear
11,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/sadness_enthusiasm_24/24_sadness_enthusiasm_s_030.wav,../шумоподавление/DTLN_output/DTLN_24_sadness_enthusiasm_s_030.wav,../шумоподавление/Noisereduce_output/Noisereduce_24_sadness_enthusiasm_s_030.wav,ну удавай посмотрим на градво сник ну вот сейчас восемьдесят шесть градуса,ну удавай посмотрим наградо сник ну вот сейчас в осемьдесят шесть градуса,ну удавай посмотрим наградость ни кну вот сейчас вочень десят шесть градус,"Ну, давай посмотрим на градусник. Ну вот сейчас 86 градусов.",sadness
12,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/neutral_enthusiasm_13/13_neutral_enthusiasm_n_061.wav,../шумоподавление/DTLN_output/DTLN_13_neutral_enthusiasm_n_061.wav,../шумоподавление/Noisereduce_output/Noisereduce_13_neutral_enthusiasm_n_061.wav,я помогла ам посоветовать на такой случай тариф рауменк то есть  вы платите обычный тариф тоесть,я вым домполедтолькооль аковы платите обычный дарив то есть,яла мдоло мыстообиривать кавты просецально моидетасцеурдулиснова выплазисе обычной таритуяс,"Я бы могла вам посоветовать на такой случай тариф роуминг. То есть вы платите обычный тариф, то есть вы платите обычный тариф,",neutral
13,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/sadness_enthusiasm_24/24_sadness_enthusiasm_s_110.wav,../шумоподавление/DTLN_output/DTLN_24_sadness_enthusiasm_s_110.wav,../шумоподавление/Noisereduce_output/Noisereduce_24_sadness_enthusiasm_s_110.wav,да можно конечно на другай подум выбишь потом кже не объясняться потом но утро голово болит мне не знаю,долны начин из дунейшних проддлгордемсрывые вделетс во ответствь завнраимо взмиз няато дополненного ведеру бедеротерного бое истиц,орно васть накотесно захложаето ныазбееж восойчность  пинеси очукакуноут разбеланола обавиц,"Да можно, конечно, но только потом выпьешь, потом к жене объясняться, потом на утро голова болит. Не, не знаю.",sadness
14,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/sadness_disgust_12/12_sadness_disgust_s_090.wav,../шумоподавление/DTLN_output/DTLN_12_sadness_disgust_s_090.wav,../шумоподавление/Noisereduce_output/Noisereduce_12_sadness_disgust_s_090.wav,нетнет нет подождите давайте все таки договоримся вот я хочу чтобы мой сен ходил дополнительные занять чем он хуже остальных ученик,этогоескипа доклате все таки договорилс торявносту что тобуй всенкодимо дополнительные занятия чем он хуже остальных ученияк,еетвотосицей дапойтесетуки даговоринеса толкяво чусту добо цент котело дополнительныть занять чем куже остальных учинеку,"Нет-нет-нет, подождите. Давайте всё-таки договоримся. Вот я хочу, чтобы мой сын ходил на дополнительные занятия, чем он хуже остальных учеников.",sadness
15,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/fear_happiness_30/30_fear_happiness_h_120.wav,../шумоподавление/DTLN_output/DTLN_30_fear_happiness_h_120.wav,../шумоподавление/Noisereduce_output/Noisereduce_30_fear_happiness_h_120.wav,ну чего вы боетесь но чего вы переживаете но все буд у нас про,но чего вы боетесь но чего вы переживаете но все буду нас про,но чего вы боетеси чего вы переживаете но все будь нас про,Ну чего вы боитесь? Ну чего вы переживаете? Ну все будет у нас просто!,happiness
16,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/sadness_disgust_16/16_sadness_disgust_d_020.wav,../шумоподавление/DTLN_output/DTLN_16_sadness_disgust_d_020.wav,../шумоподавление/Noisereduce_output/Noisereduce_16_sadness_disgust_d_020.wav,тебе меня недостаточнозачем тебе еще ребенок зачем тебе все эти дополнительные сложности как будто сейчас у нас все хорошо и достаточно денег на жизнь,тбе меня ивостаточла аоче кы беют чго зедавных етет полицорики а и полнелли демостадовательно скела как тудь ослючаетсяумлятся сеях торашой и достаточно денег на жизнь,тебед незетельство оточел азчаты виучно динамечит мои цели по вайполны изнопраить морсиолнотпоки слушаютсвомяс в сфелях хрошу ей достаточно дениг на жизнь,Тебе меня недостаточно? Зачем тебе ещё и ребёнок? Зачем тебе все эти дополнительные сложности? Как будто сейчас у нас всё хорошо и достаточно денег на жизнь.,disgust
17,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/happiness_sadness_45/45_happiness_sadness_h_100.wav,../шумоподавление/DTLN_output/DTLN_45_happiness_sadness_h_100.wav,../шумоподавление/Noisereduce_output/Noisereduce_45_happiness_sadness_h_100.wav,учяйта при сред,учалька ти содит,учайта и сред,или СПИ!!!!,happiness
18,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/happiness_sadness_45/45_happiness_sadness_s_010.wav,../шумоподавление/DTLN_output/DTLN_45_happiness_sadness_s_010.wav,../шумоподавление/Noisereduce_output/Noisereduce_45_happiness_sadness_s_010.wav,ярина пута табежтей ше дело,а лиду куда дабежиь как че делаю,аина пута топижто еже дело,"Блин, ну куда ты бежишь, идиот?",sadness
19,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/happiness_neutral_38/38_happiness_neutral_h_090.wav,../шумоподавление/DTLN_output/DTLN_38_happiness_neutral_h_090.wav,../шумоподавление/Noisereduce_output/Noisereduce_38_happiness_neutral_h_090.wav,когда же придет она быстро придет,ширедоница она быстро пребелими,такой дпусни она пуестопыт,Когда же придёт? Она быстро придёт?,happiness
20,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/enthusiasm_sadness_15/15_enthusiasm_sadness_s_010.wav,../шумоподавление/DTLN_output/DTLN_15_enthusiasm_sadness_s_010.wav,../шумоподавление/Noisereduce_output/Noisereduce_15_enthusiasm_sadness_s_010.wav,здравствуйте я хотел бы записаться на курсе английского языка,онн дум том а а,оне занаят но одно палмалкисведиею,Здравствуйте! Я хотел бы записаться на курсы английского языка.,sadness
21,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/neutral_fear_35/35_neutral_fear_f_052.wav,../шумоподавление/DTLN_output/DTLN_35_neutral_fear_f_052.wav,../шумоподавление/Noisereduce_output/Noisereduce_35_neutral_fear_f_052.wav,джурново или как там их называют вот и такое ощеущение что вот скоро кислород закончется,те поуже чель чтобы теперь весодаем эттз окнумичицы,заозгадты полше сен чтоботслову преслава токолчестс,"дежурного, или как там их называют. И такое ощущение, что скоро кислород закончится.",fear
22,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/sadness_disgust_12/12_sadness_disgust_d_110.wav,../шумоподавление/DTLN_output/DTLN_12_sadness_disgust_d_110.wav,../шумоподавление/Noisereduce_output/Noisereduce_12_sadness_disgust_d_110.wav,на гитаре не но я понимаю еще фортепьянно там было бы я я еще понимаю огитары ну что это такой за инструмент пусть при ходе ты учит английские зыкаты хотя бы в жизни пригодиться,по тедаю придаем откеть свои проста геалла усновале доспавит лесанацам предстонута дитой стоду что это такую за инструмент попусть ки хухдик ты учет атлиски са какдо хотя бы в жизни приградиется,к зереплями окиет свои простако алолснай распающийся запресталтельны и найтельпусть ки годет и учат озвесткии зэкэто хотя бы в жизни пригодится,"На гитаре? Не, ну я понимаю, ещё фортепиано там было бы, я ещё понимаю. А гитара? Ну что это такое за инструмент? Пусть приходит и учит английский язык, это хотя бы в жизни пригодится.",disgust
23,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/neutral_anger_44/44_neutral_anger_n_020.wav,../шумоподавление/DTLN_output/DTLN_44_neutral_anger_n_020.wav,../шумоподавление/Noisereduce_output/Noisereduce_44_neutral_anger_n_020.wav,потому что я каждый день подписываю договор о том что я не принимают,потому что я каждый день подписываю договор о том что я не принимают,потому что я каждый день подписымую договор о том что я не принимаю лы,"Потому что я каждый день подписываю договор о том, что я не принимаю такие.",neutral
24,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/fear_anger_22/22_fear_anger_f_160.wav,../шумоподавление/DTLN_output/DTLN_22_fear_anger_f_160.wav,../шумоподавление/Noisereduce_output/Noisereduce_22_fear_anger_f_160.wav,доморямы обще такое настроление счаствует поставить машину и вот на первуя автобу ссесть и поехать,шака шафаста этот этозучеттинци,нашах жасанастмунопостекх утопорадобение созалитоушекыри,"У меня вообще такое настроение, я сейчас поставить машину и вот на первый автобус сесть и поехать.",fear
