,No,name,text_true,text_recognize,emo_true,met
0,0,../dataset/RESD_csv/test/neutral_fear_27/27_neutral_fear_n_100.wav,"Вам дадут целый минимальный оклад, но при этом вам не надо будет ходить на работу. Это же счастье. Я бы просто мечтал вот прям сегодня уйти на пенсию. Я так вам завидую.", Вам дадут целый минимальный аклад. Но при   этом вам не  надо будет ходить на  Работу. Это же счастье. Я бы   просто мечтал вот  прям  Сегодня уйти на пенсию. Я так вам  заведу.,neutral,0.15625
1,1,../dataset/RESD_csv/test/08_sadness_anger/08_sadness_anger a_010.wav,Сколько можно звонить?, Сколько  Можно звонить?,anger,0.3333333333333333
2,2,../dataset/RESD_csv/test/enthusiasm_happiness_26/26_enthusiasm_happiness_e_120.wav,А как долго тебе нужно это всё узнавать?, Как  Долго тебе нужно это все  узнавайте.,enthusiasm,0.875
3,3,../dataset/RESD_csv/test/anger_fear_42/42_anger_fear_a_190.wav,Ну а мне в 5 часов вставать на работу!, Но он мне в 5 часов вставать на  работу.,anger,0.3333333333333333
4,4,../dataset/RESD_csv/test/04_fear_enthusiasm/04_fear_enthusiasm f_090.wav,"Честно, я не подскажу, ну как и обычно, любым другим телевизорам. Можете все-таки отдать деньги в руки, зачем мне ходить по вашей квартире? Давайте лучше так сделаем."," Я не  поскажу, но как я  обычно для любым  другим телевизором. можете все-таки вода   деньги в руки, зачем мне ходить по  вашей квартире.   Давайте лучше так сделаем.",fear,0.4444444444444444
5,5,../dataset/RESD_csv/test/enthusiasm_sadness_15/15_enthusiasm_sadness_e_020.wav,"Хорошо. Расскажите, какой у вас предположительный уровень?"," Хорошо.   расскажите, какой у вас предположительно уровень?",enthusiasm,0.2857142857142857
6,7,../dataset/RESD_csv/test/neutral_anger_44/44_neutral_anger_a_040.wav,Кто вас не принимает?,,anger,0.0
7,10,../dataset/RESD_csv/test/fear_enthusiasm_31/31_fear_enthusiasm_f_080.wav,"Ну в каком смысле переувеличивать, если приезжала скорая? Меня чуть не увезли в больницу. Я их уговорила только потому, что ты должна прийти домой."," Если приезжала скоро,   Меня чуть не увезли больницу. Я икунговарил только потому, что... Я икун говорил только потому, что ты ида уже на притин  должна прийти  Тиндомой.",fear,1.0
8,11,../dataset/RESD_csv/test/sadness_happiness_49/49_sadness_happiness_s_090.wav,"Ладно, я беру всё и начинаю мыть"," Ладно, я  Беру все,  Начинаем мыть.",sadness,0.5714285714285714
9,14,../dataset/RESD_csv/test/enthusiasm_neutral_43/43_enthusiasm_neutral_e_150.wav,"Хорошо, ну, я подумаю."," Хорошо, ну, я  подумал.",enthusiasm,0.25
10,15,../dataset/RESD_csv/test/11_disgust_anger/11_anger_disgust a_040.wav,Yeah.,,anger,0.0
11,16,../dataset/RESD_csv/test/enthusiasm_neutral_37/37_enthusiasm_neutral_n_050.wav,У меня получается хорошо ездить по городу. И вообще у меня проблем нету. Я хорошо вожу. Ничего сложного нет., У меня  Получается    Ничего сложного  нет.,neutral,0.21052631578947367
12,17,../dataset/RESD_csv/test/sadness_anger_39/39_sadness_anger_a_100.wav,"Господи, ну что мы вам сделаем? От того, что мы ему что-нибудь уколем, ничего не изменится. Он труп!"," Господи, ну что мы вам  сделаем? А то что мы ему   что-нибудь уколи? Мне   чего не изменится, он труб!",anger,0.4444444444444444
13,20,../dataset/RESD_csv/test/anger_fear_42/42_anger_fear_a_140.wav,"Вот пойдемте еще, пройдемте по другим квартирам спросим, мешает вам спать ваш ребенок ваш?"," Подойдемте, подругим квартиром   спросим. Мешает,   Успать вам ваши ребенок  ваш.",anger,0.7142857142857143
14,24,../dataset/RESD_csv/test/10_happiness_anger/10_happiness_anger a_110.wav,"А я, представь себе, нет!", А я представь  Себен нет.,anger,0.6
15,25,../dataset/RESD_csv/test/fear_anger_22/22_fear_anger_f_140.wav,"Вот заедем, вон кофе попьем.",,fear,0.0
16,26,../dataset/RESD_csv/test/11_disgust_anger/11_anger_disgust d_190.wav,"А ты знаешь, кто на нём катался?",,disgust,0.0
17,27,../dataset/RESD_csv/test/happiness_neutral_23/23_happiness_neutral_h_180.wav,"Правильно, он счастливый. И заметь, в этом году 13-е не в пятницу, а в среду.", И   заметить в  этом году 13-е не в пятницу. А в   среду?,happiness,0.7333333333333333
18,28,../dataset/RESD_csv/test/08_sadness_anger/08_sadness_anger a_020.wav,"Да мы с вами уже тридцатый раз подбираем, и все время вам одобряют эту ипотеку. Сколько можно уже?"," Домы с вами уже 30  раз,  Бираем. А  добре от этого и  потеку. Сколько  можно уже?",anger,0.8888888888888888
19,29,../dataset/RESD_csv/test/fear_anger_22/22_fear_anger_a_020.wav,"Вот и замечательно! Чем больше будешь рулить, тем быстрее и лучше научишься водить!"," Ну вот это замечательно, чем  больше будет ширулетим,  быстрее  лучше научиться водить  вообще.",anger,0.9230769230769231
20,30,../dataset/RESD_csv/test/neutral_anger_44/44_neutral_anger_n_170.wav,"Женщина, успокойтесь."," Женщина,  Спокойно.",neutral,0.5
21,31,../dataset/RESD_csv/test/06_happiness_enthusiasm/06_happiness_enthusiasm e_010.wav,Привет!,,enthusiasm,0.0
22,33,../dataset/RESD_csv/test/fear_enthusiasm_31/31_fear_enthusiasm_f_130.wav,А среди них были совершеннолетние.,,fear,0.0
23,34,../dataset/RESD_csv/test/sadness_enthusiasm_24/24_sadness_enthusiasm_e_080.wav,"Бодрит, наверное.",,enthusiasm,0.0
24,35,../dataset/RESD_csv/test/happiness_fear_29/29_happiness_fear_h_030.wav,"Да, вы не бойтесь, вы скажите, что бы вам хотелось, и мы рады будем доставить вам любую еду. И очень быстро."," Да вы не будете, вы  скажите, что бы вам  хотелось и мы   рады будем  Доставить вам  любую еду и   очень быстро!",happiness,0.3333333333333333
25,37,../dataset/RESD_csv/test/neutral_anger_44/44_neutral_anger_a_060.wav,"Очередь подождет, девушка, примите мои деньги! Примите мои деньги, она совсем... Посмотрите, она совсем не рван... Чуть-чуть надорвана. Вы сходите, обменяйте в банк."," Да и очень речь подождиот девушка,    Примите мои деньги.  Посмотрите, она совсем нерван.  чуть-чуть по надору, но вы исходите обменяете в  обменять в банк!",anger,0.9130434782608695
26,38,../dataset/RESD_csv/test/04_fear_enthusiasm/04_fear_enthusiasm e_150.wav,"Оооо, нет в комплекте батареек, а как же я буду проверять?"," У, нет, комплектеботрию, как же я   буду  проверять.",enthusiasm,0.7272727272727273
27,39,../dataset/RESD_csv/test/neutral_enthusiasm_13/13_neutral_enthusiasm_n_070.wav,"Там ничего не меняется, всё так же, как я вам сказала. Безлимитные мессенджеры, безлимитные соцсети, безлимитные сообщения."," Там ничего не меняется. Все так же, как я вам   сказала, безлимитная масса, жиры, безлимитная, суттеть и безлимитная. Митная масса жира безлимитная соцсети безлимитная   сообщения.",neutral,0.5294117647058824
