,model,wav,ground,m0,s0,m1,s1,t
0,Aniemore/wavlm-emotion-russian-resd,dataset/dusha/podcast_train/wavs/eac47d2886774c3a5fbdc2ff552ce2f1.wav,sad,fear,0.527573823928833,sadness,0.4648335874080658,1.988178014755249
1,Aniemore/wavlm-emotion-russian-resd,dataset/dusha/podcast_train/wavs/0f6231dcaeb74e5c64b7a52ebea37ef3.wav,neutral,fear,0.7223754525184631,sadness,0.2760712802410126,1.988178014755249
2,Aniemore/wavlm-emotion-russian-resd,dataset/dusha/podcast_train/wavs/bee2345241659c6f998df4936095cc15.wav,neutral,sadness,0.7495927810668945,fear,0.2485688328742981,1.988178014755249
3,Aniemore/wavlm-emotion-russian-resd,dataset/dusha/podcast_train/wavs/a4b65036044fcc745a605ba8c4fd71f3.wav,angry,happiness,0.9990336894989014,enthusiasm,0.0006424844032153487,1.988178014755249
4,Aniemore/wavlm-emotion-russian-resd,dataset/dusha/podcast_train/wavs/2124ca527a2db84f5a4a08c69324c571.wav,neutral,fear,0.9994961023330688,enthusiasm,0.00024813087657094,1.988178014755249
5,Aniemore/wavlm-emotion-russian-resd,dataset/dusha/podcast_train/wavs/6c0dddce6a86f7fe9c017c03a299773e.wav,sad,sadness,0.764566957950592,neutral,0.22714105248451233,1.988178014755249
6,Aniemore/wavlm-emotion-russian-resd,dataset/dusha/podcast_train/wavs/f9de4f4b12214dcc68406b82e332d18a.wav,neutral,enthusiasm,0.8435750603675842,neutral,0.1497587114572525,1.988178014755249
7,Aniemore/wavlm-emotion-russian-resd,dataset/dusha/podcast_train/wavs/fac4e3a9599d25160e5547c8aacd4859.wav,angry,fear,0.8843842148780823,disgust,0.07972507178783417,1.988178014755249
8,Aniemore/wavlm-emotion-russian-resd,dataset/dusha/podcast_train/wavs/d624d077b47851ee243ae7cf9b0c55bc.wav,sad,sadness,0.9956910014152527,neutral,0.002122679492458701,1.988178014755249
9,Aniemore/wavlm-emotion-russian-resd,dataset/dusha/podcast_train/wavs/5fbc1defc872c91df995dee391a7f7c0.wav,sad,enthusiasm,0.958101749420166,fear,0.02842756174504757,1.988178014755249
10,Aniemore/wavlm-emotion-russian-resd,dataset/dusha/podcast_train/wavs/688bd6e993cf9d9d7b0e5866842f3bf2.wav,neutral,fear,0.9583735466003418,disgust,0.026018543168902397,1.988178014755249
11,Aniemore/wavlm-emotion-russian-resd,dataset/dusha/podcast_train/wavs/807df6bf1a01575cdd3d1cd743d02967.wav,neutral,fear,0.8532318472862244,enthusiasm,0.14039738476276398,1.988178014755249
12,Aniemore/wavlm-emotion-russian-resd,dataset/dusha/podcast_train/wavs/6d455a3405e7d5e03999251cd04539ee.wav,sad,fear,0.998965859413147,sadness,0.00048758561024442315,1.988178014755249
13,Aniemore/wavlm-emotion-russian-resd,dataset/dusha/podcast_train/wavs/45d65f3f8f8d40739d8d8684f413f467.wav,neutral,enthusiasm,0.9468616247177124,neutral,0.04145428538322449,1.988178014755249
14,Aniemore/wavlm-emotion-russian-resd,dataset/dusha/podcast_train/wavs/1ef8555b1e7822ed56872bcace024b07.wav,sad,sadness,0.8496952652931213,neutral,0.14967085421085358,1.988178014755249
15,Aniemore/wavlm-emotion-russian-resd,dataset/dusha/podcast_train/wavs/bd6d3e6c6c63fc0b87f83749da196d85.wav,neutral,fear,0.9996471405029297,sadness,0.00014228229701984674,1.988178014755249
16,Aniemore/wavlm-emotion-russian-resd,dataset/dusha/podcast_train/wavs/b3279399d47d4fb0bfa1517a48539548.wav,neutral,enthusiasm,0.906120777130127,neutral,0.04668993875384331,1.988178014755249
17,Aniemore/wavlm-emotion-russian-resd,dataset/dusha/podcast_train/wavs/cbd36b72e328988e8991e8b4577195ce.wav,sad,fear,0.9984204769134521,sadness,0.0012666125549003482,1.988178014755249
18,Aniemore/wavlm-emotion-russian-resd,dataset/dusha/podcast_train/wavs/0ef669bd8451f34c1d0e277349cd41eb.wav,neutral,neutral,0.9982147216796875,enthusiasm,0.0010239611146971583,1.988178014755249
19,Aniemore/wavlm-emotion-russian-resd,dataset/dusha/podcast_train/wavs/7edcd7f35fb74f17eeb65783f6d8705e.wav,sad,fear,0.9994640946388245,enthusiasm,0.0002985644096042961,1.988178014755249
20,Aniemore/wavlm-emotion-russian-resd,dataset/dusha/podcast_train/wavs/b3279399d47d4fb0bfa1517a48539548.wav,sad,enthusiasm,0.906120777130127,neutral,0.04668993875384331,1.988178014755249
21,Aniemore/wavlm-emotion-russian-resd,dataset/dusha/podcast_train/wavs/420f72003fc9ce42e2dff52810524e87.wav,angry,fear,0.9993963241577148,disgust,0.00018810441542882472,1.988178014755249
22,Aniemore/wavlm-emotion-russian-resd,dataset/dusha/podcast_train/wavs/6a2e1ec332a137590869c8d6f13dc1c4.wav,neutral,neutral,0.9050673842430115,enthusiasm,0.09437334537506104,1.988178014755249
23,Aniemore/wavlm-emotion-russian-resd,dataset/dusha/podcast_train/wavs/bee2345241659c6f998df4936095cc15.wav,neutral,sadness,0.7495927810668945,fear,0.2485688328742981,1.988178014755249
24,Aniemore/wavlm-emotion-russian-resd,dataset/dusha/podcast_train/wavs/fac4e3a9599d25160e5547c8aacd4859.wav,angry,fear,0.8843842148780823,disgust,0.07972507178783417,1.988178014755249
25,Aniemore/wavlm-emotion-russian-resd,dataset/dusha/podcast_train/wavs/306e0c8a1ffc3e9c9df6d75452a2a236.wav,neutral,fear,0.979720950126648,enthusiasm,0.017373960465192795,1.988178014755249
26,Aniemore/wavlm-emotion-russian-resd,dataset/dusha/podcast_train/wavs/88058c2f3c43e83e76d1273564970e16.wav,neutral,neutral,0.9759137034416199,enthusiasm,0.02230101265013218,1.988178014755249
27,Aniemore/wavlm-emotion-russian-resd,dataset/dusha/podcast_train/wavs/b231c8c2fe5fe3ee8bfc2b9b8af17381.wav,neutral,enthusiasm,0.9969539642333984,disgust,0.0026091039180755615,1.988178014755249
28,Aniemore/wavlm-emotion-russian-resd,dataset/dusha/podcast_train/wavs/bee2345241659c6f998df4936095cc15.wav,neutral,sadness,0.7495927810668945,fear,0.2485688328742981,1.988178014755249
29,Aniemore/wavlm-emotion-russian-resd,dataset/dusha/podcast_train/wavs/5c277e766d131f45f4ac623d1b341e2f.wav,sad,fear,0.9996082186698914,enthusiasm,0.0001812222326407209,1.988178014755249
30,Aniemore/wavlm-emotion-russian-resd,dataset/dusha/podcast_train/wavs/7b8ed82e34f26410c158c05aa6422199.wav,sad,fear,0.9940051436424255,sadness,0.005768291652202606,1.988178014755249
31,Aniemore/wavlm-emotion-russian-resd,dataset/dusha/podcast_train/wavs/ca1c588fd7c97c1f25dc27ec6ff7d151.wav,neutral,fear,0.9953340888023376,sadness,0.0022741579450666904,1.988178014755249
32,Aniemore/wavlm-emotion-russian-resd,dataset/dusha/podcast_train/wavs/7edcd7f35fb74f17eeb65783f6d8705e.wav,sad,fear,0.9994640946388245,enthusiasm,0.0002985644096042961,1.988178014755249
33,Aniemore/wavlm-emotion-russian-resd,dataset/dusha/podcast_train/wavs/8cb3589212643621f53a1277c628c103.wav,neutral,enthusiasm,0.9655309319496155,neutral,0.03416765481233597,1.988178014755249
34,Aniemore/wavlm-emotion-russian-resd,dataset/dusha/podcast_train/wavs/5ed15c01fab4a41fceb4b1e194acefdc.wav,neutral,fear,0.9772218465805054,enthusiasm,0.021947870030999184,1.988178014755249
35,Aniemore/wavlm-emotion-russian-resd,dataset/dusha/podcast_train/wavs/cd93a17ea2508acb1ba1fbbf3ae91bba.wav,neutral,neutral,0.9983320832252502,enthusiasm,0.0011340760393068194,1.988178014755249
36,Aniemore/wavlm-emotion-russian-resd,dataset/dusha/podcast_train/wavs/4215e2d7c888e90cfdf426b4acdf6a1f.wav,neutral,enthusiasm,0.9654443860054016,neutral,0.022891858592629433,1.988178014755249
37,Aniemore/wavlm-emotion-russian-resd,dataset/dusha/podcast_train/wavs/8553e59c3dfd352931dc3b844b3b20c9.wav,neutral,disgust,0.9903283715248108,enthusiasm,0.008513747714459896,1.988178014755249
38,Aniemore/wavlm-emotion-russian-resd,dataset/dusha/podcast_train/wavs/ea378e904920cf71b6cf019ab7f9a115.wav,positive,enthusiasm,0.9051215648651123,happiness,0.09248760342597961,1.988178014755249
39,Aniemore/wavlm-emotion-russian-resd,dataset/dusha/podcast_train/wavs/c24ca66f712ab6d9b7d2e6036ea01fbd.wav,neutral,fear,0.958034098148346,sadness,0.04109366238117218,1.988178014755249
40,Aniemore/wavlm-emotion-russian-resd,dataset/dusha/podcast_train/wavs/e19f065498cd3f74ca75fed7b18e599d.wav,neutral,neutral,0.9507038593292236,enthusiasm,0.037887781858444214,1.988178014755249
41,Aniemore/wavlm-emotion-russian-resd,dataset/dusha/podcast_train/wavs/b6f656cc77b0c731b1b58571392bf17a.wav,sad,fear,0.9795258045196533,sadness,0.01713676005601883,1.988178014755249
42,Aniemore/wavlm-emotion-russian-resd,dataset/dusha/podcast_train/wavs/178094dc267907ad768977c829676e3a.wav,neutral,fear,0.9724259376525879,enthusiasm,0.014756174758076668,1.988178014755249
43,Aniemore/wavlm-emotion-russian-resd,dataset/dusha/podcast_train/wavs/cd93a17ea2508acb1ba1fbbf3ae91bba.wav,neutral,neutral,0.9983320832252502,enthusiasm,0.0011340760393068194,1.988178014755249
44,Aniemore/wavlm-emotion-russian-resd,dataset/dusha/podcast_train/wavs/7fcbf3838f3af9b85eb796ffcddd5802.wav,neutral,enthusiasm,0.8771680593490601,neutral,0.12229907512664795,1.988178014755249
45,Aniemore/wavlm-emotion-russian-resd,dataset/dusha/podcast_train/wavs/cbd36b72e328988e8991e8b4577195ce.wav,sad,fear,0.9984204769134521,sadness,0.0012666125549003482,1.988178014755249
